player,seasons,batting_runs,batting_average,strike_rate,runs_per_match,bowling_wickets,economy,wickets_per_match,cluster_id,cluster_name
HH Pandya,9,2534.0,28.471910112359552,139.69128996692393,19.796875,70.0,8.872727272727273,0.7526881720430108,1,Power Hitters
HM Amla,2,577.0,44.38461538461539,138.03827751196172,36.0625,0.0,0.0,0.0,2,Finishers / All-Rounders
HR Shokeen,2,66.0,22.0,98.50746268656717,13.2,5.0,9.014084507042254,0.38461538461538464,2,Finishers / All-Rounders
HV Patel,11,249.0,9.576923076923077,116.35514018691589,6.72972972972973,151.0,8.44570928196147,1.4660194174757282,3,Finishers / All-Rounders
Harbhajan Singh,13,833.0,14.875,130.9748427672956,9.465909090909092,161.0,7.0383295194508015,1.00625,3,Finishers / All-Rounders
Harmeet Singh,5,18.0,9.0,150.0,4.5,31.0,7.808362369337979,1.1071428571428572,3,Finishers / All-Rounders
Harpreet Brar,5,233.0,19.416666666666668,115.92039800995025,9.708333333333334,25.0,7.864161849710983,0.6410256410256411,2,Finishers / All-Rounders
Harpreet Singh,4,123.0,20.5,103.36134453781513,15.375,0.0,0.0,0.0,2,Finishers / All-Rounders
Harshit Rana,3,2.0,1.0,66.66666666666667,0.6666666666666666,27.0,8.784119106699752,1.4210526315789473,0,Finishers / All-Rounders
I Malhotra,1,7.0,7.0,175.0,7.0,0.0,23.0,0.0,0,Finishers / All-Rounders
I Sharma,13,57.0,8.142857142857142,80.28169014084507,2.7142857142857144,96.0,8.04034582132565,0.8727272727272727,3,Finishers / All-Rounders
I Udana,1,15.0,5.0,136.36363636363637,3.75,8.0,9.428571428571429,0.8,0,Finishers / All-Rounders
IC Pandey,3,0.0,0.0,0.0,0.0,19.0,7.791044776119403,0.7916666666666666,0,Finishers / All-Rounders
IC Porel,1,0.0,0.0,0.0,0.0,1.0,9.692307692307693,1.0,0,Finishers / All-Rounders
IK Pathan,9,1150.0,21.69811320754717,116.751269035533,14.024390243902438,99.0,7.698059630856601,0.9801980198019802,3,Finishers / All-Rounders
IR Jaggi,3,76.0,15.2,76.0,10.857142857142858,0.0,0.0,0.0,2,Finishers / All-Rounders
IS Sodhi,2,7.0,3.5,38.888888888888886,3.5,9.0,6.725274725274725,1.125,0,Finishers / All-Rounders
Imran Tahir,7,33.0,8.25,89.1891891891892,4.125,86.0,7.741791044776119,1.4576271186440677,3,Finishers / All-Rounders
Iqbal Abdulla,9,88.0,88.0,102.32558139534883,6.769230769230769,45.0,7.158006362672323,0.9375,1,Power Hitters
Ishan Kishan,8,2644.0,29.054945054945055,132.79758915118032,26.707070707070706,0.0,0.0,0.0,1,Power Hitters
J Arunkumar,1,23.0,7.666666666666667,95.83333333333333,7.666666666666667,0.0,0.0,0.0,2,Finishers / All-Rounders
J Botha,5,409.0,18.59090909090909,112.36263736263736,14.607142857142858,27.0,6.922425952045134,0.7941176470588235,2,Finishers / All-Rounders
J Fraser-McGurk,1,330.0,41.25,220.0,36.666666666666664,0.0,0.0,0.0,2,Finishers / All-Rounders
J Little,2,0.0,0.0,0.0,0.0,13.0,8.669491525423728,1.1818181818181819,0,Finishers / All-Rounders
J Suchith,5,70.0,17.5,112.90322580645162,7.777777777777778,20.0,8.350230414746544,0.9523809523809523,2,Finishers / All-Rounders
J Syed Mohammad,3,29.0,14.5,107.4074074074074,5.8,10.0,8.755102040816327,0.9090909090909091,0,Finishers / All-Rounders
J Theron,3,10.0,5.0,76.92307692307692,2.5,13.0,7.940425531914894,1.3,0,Finishers / All-Rounders
J Yadav,6,40.0,20.0,105.26315789473684,10.0,9.0,6.738693467336684,0.45,2,Finishers / All-Rounders
JA Morkel,9,975.0,24.375,136.93820224719101,14.552238805970148,96.0,7.998893193137797,1.103448275862069,3,Finishers / All-Rounders
JA Richardson,2,17.0,5.666666666666667,62.96296296296296,5.666666666666667,3.0,10.340425531914894,0.75,0,Finishers / All-Rounders
JC Archer,4,199.0,15.307692307692308,150.75757575757575,8.652173913043478,49.0,7.355623100303951,1.225,3,Finishers / All-Rounders
JC Buttler,8,3583.0,37.322916666666664,142.23898372369987,33.801886792452834,0.0,0.0,0.0,1,Power Hitters
JD Ryder,3,604.0,20.82758620689655,129.6137339055794,20.82758620689655,11.0,7.817427385892117,0.6875,2,Finishers / All-Rounders
JD Unadkat,14,197.0,14.071428571428571,115.88235294117646,7.296296296296297,109.0,8.803099361896079,1.0480769230769231,3,Finishers / All-Rounders
JDP Oram,4,106.0,13.25,96.36363636363636,9.636363636363637,13.0,8.901639344262296,0.9285714285714286,0,Finishers / All-Rounders
JDS Neesham,3,92.0,11.5,98.9247311827957,9.2,8.0,9.243243243243244,0.6153846153846154,0,Finishers / All-Rounders
JE Root,1,10.0,10.0,66.66666666666667,10.0,0.0,7.5,0.0,2,Finishers / All-Rounders
JE Taylor,1,3.0,3.0,75.0,1.5,6.0,8.213114754098362,1.2,0,Finishers / All-Rounders
JEC Franklin,2,327.0,29.727272727272727,105.8252427184466,20.4375,9.0,8.70967741935484,0.6,2,Finishers / All-Rounders
JH Kallis,7,2427.0,27.269662921348313,105.93627237014404,25.54736842105263,74.0,7.8310172317954425,0.8314606741573034,1,Power Hitters
JJ Bumrah,10,68.0,8.5,85.0,2.6153846153846154,182.0,7.233908948194662,1.368421052631579,3,Finishers / All-Rounders
JJ Roy,4,614.0,32.31578947368421,133.47826086956522,29.238095238095237,0.0,0.0,0.0,2,Finishers / All-Rounders
JJ van der Wath,1,18.0,9.0,105.88235294117646,6.0,3.0,10.578947368421053,1.0,0,Finishers / All-Rounders
JL Denly,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Finishers / All-Rounders
JL Pattinson,1,15.0,15.0,115.38461538461539,7.5,11.0,8.675675675675675,1.1,0,Finishers / All-Rounders
JM Bairstow,4,1589.0,33.104166666666664,140.37102473498234,31.78,0.0,0.0,0.0,1,Power Hitters
JM Kemp,1,26.0,13.0,104.0,13.0,3.0,7.404255319148937,0.6,2,Finishers / All-Rounders
JM Sharma,3,730.0,22.8125,145.70858283433134,20.27777777777778,0.0,0.0,0.0,2,Finishers / All-Rounders
JO Holder,6,259.0,12.333333333333334,119.35483870967742,9.592592592592593,59.0,8.516682554814109,1.2826086956521738,3,Finishers / All-Rounders
JP Behrendorff,2,6.0,6.0,66.66666666666667,3.0,22.0,8.91292875989446,1.2941176470588236,0,Finishers / All-Rounders
JP Duminy,8,2029.0,41.40816326530612,120.77380952380952,27.053333333333335,23.0,7.249643366619116,0.46938775510204084,1,Power Hitters
JP Faulkner,7,527.0,18.821428571428573,129.80295566502463,11.71111111111111,76.0,8.62004662004662,1.2666666666666666,3,Finishers / All-Rounders
JPR Scantlebury-Searles,1,8.0,8.0,133.33333333333334,4.0,2.0,11.866666666666667,0.6666666666666666,0,Finishers / All-Rounders
JR Hazlewood,3,19.0,19.0,65.51724137931035,3.1666666666666665,36.0,8.006430868167202,1.3333333333333333,0,Finishers / All-Rounders
JR Hopes,2,417.0,24.529411764705884,132.80254777070064,21.94736842105263,14.0,9.138211382113822,0.7,2,Finishers / All-Rounders
JR Philippe,1,78.0,19.5,97.5,15.6,0.0,0.0,0.0,2,Finishers / All-Rounders
JW Hastings,2,0.0,0.0,0.0,0.0,3.0,6.491803278688525,1.0,0,Finishers / All-Rounders
Jalaj S Saxena,1,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0,Finishers / All-Rounders
Jaskaran Singh,2,8.0,4.0,72.72727272727273,2.0,6.0,9.405405405405405,0.8571428571428571,0,Finishers / All-Rounders
Joginder Sharma,4,36.0,9.0,120.0,7.2,13.0,9.286764705882353,0.8666666666666667,0,Finishers / All-Rounders
K Goel,3,218.0,15.571428571428571,91.2133891213389,13.625,0.0,8.417910447761194,0.0,2,Finishers / All-Rounders
K Gowtham,6,247.0,13.722222222222221,155.34591194968553,9.148148148148149,22.0,8.263772954924875,0.6285714285714286,2,Finishers / All-Rounders
K Kartikeya,2,9.0,4.5,69.23076923076923,4.5,10.0,8.315352697095436,0.8333333333333334,0,Finishers / All-Rounders
